image_path,label,encoded_label
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im2167.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im2882.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im2324.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im2649.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im2289.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/angry/im3015.png,angry,0
/home/aayushjoshi/ML/Projects/emotions/dataset/train/angry/im2926.png,angry,0
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im811.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im2524.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im566.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im470.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im3089.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im1087.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im319.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im2641.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im520.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im2864.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im3624.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im3059.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im2896.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im258.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/angry/im2506.png,angry,0
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im2351.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im2334.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im3612.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im981.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im4688.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im3053.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im1772.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im163.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im1080.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im4813.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im1816.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im2721.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/angry/im309.png,angry,0
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im3638.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im2156.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im3608.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/angry/im3667.png,angry,0
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im3995.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im3906.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im2514.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im3442.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im2970.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im6615.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im711.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im2188.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/angry/im3718.png,angry,0
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im3279.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im2815.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im924.png,sad,5
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im3645.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im3519.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im1326.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im3017.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im2827.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im3783.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im1887.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/happy/im2535.png,happy,3
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im4173.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/fearful/im1168.png,fearful,2
/home/aayushjoshi/ML/Projects/emotions/dataset/train/neutral/im644.png,neutral,4
/home/aayushjoshi/ML/Projects/emotions/dataset/train/surprised/im2572.png,surprised,6
/home/aayushjoshi/ML/Projects/emotions/dataset/train/sad/im4360.png,sad,5
